NEW ENTRY
T: 70.05F | Pitch: 3.48 | Roll: 9.0 | Yaw: 0.85
T: 72.41F | Pitch: 2.34 | Roll: 4.33 | Yaw: -0.61
T: 66.03F | Pitch: -2.32 | Roll: 0.16 | Yaw: 0.03
T: 66.36F | Pitch: 2.89 | Roll: 4.08 | Yaw: 0.38
T: 75.0F | Pitch: -2.43 | Roll: 7.17 | Yaw: -0.98
T: 67.01F | Pitch: 0.51 | Roll: 9.8 | Yaw: 0.21
T: 69.69F | Pitch: 1.28 | Roll: 1.05 | Yaw: -0.81
T: 70.13F | Pitch: -2.92 | Roll: 6.76 | Yaw: 0.08
T: 70.01F | Pitch: -4.78 | Roll: 8.2 | Yaw: 0.72
T: 31.64F | Pitch: 24.96 | Roll: 17.54 | Yaw: -1.83
T: 72.67F | Pitch: 2.91 | Roll: 4.31 | Yaw: -0.82
T: 73.25F | Pitch: -1.6 | Roll: 6.54 | Yaw: 0.61
T: 65.23F | Pitch: -4.77 | Roll: 7.02 | Yaw: 0.6
T: 66.71F | Pitch: 1.46 | Roll: 5.94 | Yaw: -0.02
T: 66.38F | Pitch: -4.97 | Roll: 2.81 | Yaw: 0.87
T: 99.03F | Pitch: 14.86 | Roll: 26.24 | Yaw: 3.03
T: 70.07F | Pitch: 1.03 | Roll: 6.36 | Yaw: 0.8
T: 74.7F | Pitch: -2.95 | Roll: 0.39 | Yaw: -0.13
T: 72.3F | Pitch: 0.88 | Roll: 4.08 | Yaw: 0.2
T: 70.24F | Pitch: 0.46 | Roll: 3.88 | Yaw: -0.45
T: 73.41F | Pitch: -2.9 | Roll: 7.34 | Yaw: 0.12
T: 67.78F | Pitch: -0.02 | Roll: 4.56 | Yaw: -0.11
T: 69.63F | Pitch: -3.81 | Roll: 0.55 | Yaw: -0.44
T: 65.51F | Pitch: -4.81 | Roll: 7.95 | Yaw: 0.38
T: 111.66F | Pitch: -1.52 | Roll: 28.16 | Yaw: -3.51
T: 70.62F | Pitch: 1.3 | Roll: 4.55 | Yaw: 0.86
T: 30.71F | Pitch: 24.32 | Roll: -5.42 | Yaw: -0.92
T: 65.85F | Pitch: -1.0 | Roll: 8.93 | Yaw: 0.27
T: 68.94F | Pitch: -4.51 | Roll: 3.9 | Yaw: 0.58
T: 72.14F | Pitch: 4.99 | Roll: 5.06 | Yaw: -0.38
T: 71.88F | Pitch: -2.31 | Roll: 8.69 | Yaw: -0.48
T: 68.73F | Pitch: 3.6 | Roll: 9.4 | Yaw: 0.6
T: 73.3F | Pitch: 4.36 | Roll: 5.35 | Yaw: -0.04
T: 69.65F | Pitch: 1.98 | Roll: 4.09 | Yaw: 0.81
T: 65.69F | Pitch: -2.14 | Roll: 1.12 | Yaw: -0.52
T: 67.15F | Pitch: 1.02 | Roll: 5.14 | Yaw: 0.73
T: 73.0F | Pitch: -2.05 | Roll: 5.15 | Yaw: -0.4
T: 68.48F | Pitch: -1.42 | Roll: 6.7 | Yaw: -0.27
T: 71.14F | Pitch: 2.96 | Roll: 2.44 | Yaw: -0.73
T: 74.3F | Pitch: -1.09 | Roll: 7.89 | Yaw: 0.94
T: 68.65F | Pitch: -2.47 | Roll: 8.46 | Yaw: 0.36
T: 74.03F | Pitch: 3.6 | Roll: 1.55 | Yaw: -0.33
T: 67.17F | Pitch: -0.36 | Roll: 0.85 | Yaw: 0.18
T: 68.95F | Pitch: -3.5 | Roll: 4.98 | Yaw: -0.52
T: 66.66F | Pitch: 4.92 | Roll: 3.57 | Yaw: 0.91
T: 73.14F | Pitch: -0.89 | Roll: 4.07 | Yaw: -0.94
T: 66.12F | Pitch: 4.35 | Roll: 9.43 | Yaw: 0.46
T: 65.81F | Pitch: -4.38 | Roll: 5.04 | Yaw: 0.61
T: 70.15F | Pitch: -4.62 | Roll: 2.77 | Yaw: -0.29
T: 71.29F | Pitch: 1.4 | Roll: 7.56 | Yaw: -0.98
T: 69.91F | Pitch: -2.44 | Roll: 0.38 | Yaw: -0.17
T: 73.21F | Pitch: 1.23 | Roll: 8.09 | Yaw: 0.6
T: 65.64F | Pitch: -4.24 | Roll: 4.48 | Yaw: -0.08
T: 70.21F | Pitch: -3.35 | Roll: 1.71 | Yaw: 0.85
T: 71.53F | Pitch: -4.11 | Roll: 5.61 | Yaw: 0.95
T: 66.83F | Pitch: 4.53 | Roll: 1.75 | Yaw: -0.72
T: 68.98F | Pitch: -4.08 | Roll: 7.19 | Yaw: -0.62
T: 67.38F | Pitch: 4.65 | Roll: 5.45 | Yaw: -0.23
T: 69.43F | Pitch: 2.91 | Roll: 2.86 | Yaw: 0.07
T: 73.88F | Pitch: -1.45 | Roll: 0.42 | Yaw: 0.35
T: 67.48F | Pitch: -2.4 | Roll: 7.39 | Yaw: -0.6
T: 68.54F | Pitch: -3.63 | Roll: 7.43 | Yaw: -0.64
T: 69.32F | Pitch: 4.79 | Roll: 8.75 | Yaw: -0.26
T: 73.01F | Pitch: -2.1 | Roll: 5.15 | Yaw: -0.0
T: 72.24F | Pitch: -4.58 | Roll: 4.87 | Yaw: -0.79
T: 71.52F | Pitch: 0.72 | Roll: 1.37 | Yaw: -0.16
T: 71.74F | Pitch: -2.72 | Roll: 0.83 | Yaw: 0.68
T: 65.32F | Pitch: 4.83 | Roll: 0.0 | Yaw: 0.06
T: 73.94F | Pitch: 4.74 | Roll: 7.13 | Yaw: -0.43
T: 73.09F | Pitch: -2.43 | Roll: 0.71 | Yaw: -0.32
T: 74.61F | Pitch: 1.51 | Roll: 8.45 | Yaw: 0.44
T: 70.67F | Pitch: 1.38 | Roll: 6.39 | Yaw: -0.17
